,id,thread_title,reply
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"Hi stao, the response of the T64fx changes depending on the the blade you're using"
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX, Usually I have a Primorac Carbon and I'm offensive player with agressive top spin
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX," I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx"
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX, On the other hand less spin too
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX, Very good for block
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX, For my style I really prefer T64fx than T05fx ( always 2
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,1 for me)
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,I bought recently the complete Garaydia family to see if from the blade I had a possibility to improve my skills and I would say no
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"With the ALC it is too soft and slow for me, with the T5000 too fast and the ZLC has a softer touch and could be an alternative"
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX, I'm truly amazed about the huge difference between those 3 blades
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,To finish I'm currently glueing a Dignics 05 on my Primorac carbon to test as the season ended
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX, after a training I'll see if it fits for me or if I have to test it with the garaydia T5000 or Garaydia ZLC as I'm seeking more spin
1,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I'm also interested
2,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,maybe TTD can start reviewing some sp rubbers?
3,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I do not know if tabletennisdaily can reiview short pips
3,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2, Think they need someone that know how to play with them
3,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2, I think all three of them are considered grippy short pips so you can create some spin but there are less effect and deception
3,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2," 802 40 is not a rubber with inbuilt glue effect, think the two other are"
3,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2," So the two latter is proably a bit faster? I also think 802 40 is hardest, or atleast feel the the most hard"
3,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2, Try google and you will find alot
3,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2, Or ask at oaak tabletennis forum
3,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2, They know more about pimples than guys here
