,id,thread_title,reply_split,classification
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"Hi stao, the response of the T64fx changes depending on the the blade you're using.",-1
1,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,Usually I have a Primorac Carbon and I'm offensive player with agressive top spin.,-1
2,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx.",-1
3,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,On the other hand less spin too.,-1
4,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,Very good for block.,-1
5,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,For my style I really prefer T64fx than T05fx ( always 2.1 for me).,-1
6,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,I bought recently the complete Garaydia family to see if from the blade I had a possibility to improve my skills and I would say no.,-1
7,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"With the ALC it is too soft and slow for me, with the T5000 too fast and the ZLC has a softer touch and could be an alternative.",-1
8,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,I'm truly amazed about the huge difference between those 3 blades.,-1
9,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,To finish I'm currently glueing a Dignics 05 on my Primorac carbon to test as the season ended.,-1
10,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,after a training I'll see if it fits for me or if I have to test it with the garaydia T5000 or Garaydia ZLC as I'm seeking more spin...,-1
11,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I'm also interested.,-1
12,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,maybe TTD can start reviewing some sp rubbers?,-1
13,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I do not know if tabletennisdaily can reiview short pips.,-1
14,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Think they need someone that know how to play with them.,-1
15,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I think all three of them are considered grippy short pips so you can create some spin but there are less effect and deception.,-1
16,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"802 40 is not a rubber with inbuilt glue effect, think the two other are.",-1
17,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,So the two latter is proably a bit faster?,-1
18,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"I also think 802 40 is hardest, or atleast feel the the most hard.",-1
19,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Try google and you will find alot.,-1
20,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Or ask at oaak tabletennis forum.,-1
21,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,They know more about pimples than guys here.,-1
22,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,How do you want to play and use your short pimple?,-1
23,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Short pimple can be pretty different.,-1
24,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Some good for one style and some better for another.,-1
25,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"I`ve used to play for several months with 802-40 2mm on 35 degree sponge heavy boosted,",-1
26,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Also tested Impartial XS.,-1
27,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Both on shackehand BH,-1
28,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,To me impartial XS reacts too much on incoming spin and flat hits were to predictable for my oponnet.,-1
29,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I suppose it is ok on CPen or as Forhand rubber.,-1
30,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"802-40 is very balanced but still feels a litle hard on touch shots,",-1
31,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I suggest you to conisder Tutle Summer 3C it feels as upgraded 802-40- it is most balanced short pips i have ever tried.,-1
32,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,"apolonia weight more, u can find between 85-90 grams",-1
33,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,IF ZLC- 80-85,-1
34,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,I find Apolonia is more flexy and have softer outer ply and I love it,-1
35,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,and I think has better quality than IF ZLC too,-1
36,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,I find something special in Apolonia and this is the best blade right now if money is not the problem,-1
37,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,thanks Konrad.,-1
38,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,Is the apalonia faster then the Innerforce?,-1
39,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,Apolonia is also innerforce...,-1
40,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,If you want to save money.I think DHS fang bo ALC or DHS H301 is a good choices for you that It is the same innerforce with different outer ply Limba for fang bo and Koto for H301.,-1
41,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Sent from my SM-G900F using Tapatalk,-1
42,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"If you loop everything and are active in the short game with spin manipulation, Tenergy 05.",-1
43,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"If you block more and are a bit more passive in the short game, the more linear precision of T64 and T80 might be more to your liking.",-1
44,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I'm not sure about that.,-1
45,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I think T25FX is better than T64 for blocking and short game.,-1
46,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I don't know anything about the T80 though.,-1
47,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Lifehack: buy T05 first, then once it wears out, buy T80, or vice versa.",-1
48,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,This way you will learn by yourself how these rubbers play for you.,-1
49,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,And the difference between them is not that big so you can go from one to another with a minimal adjustment.,-1
50,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Depend on your skill.,-1
51,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I like hard sponge so t05 is my favorite.,-1
52,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"The sponge on T05, T80, T64 and T25 is all the same.",-1
53,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,The difference is not the sponge.,-1
54,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,It is the pimple construction.,-1
55,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,T64 has longer thinner pimples with more space between pimples so the pips give more and the rubber feels softer.,-1
56,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"T05 pimples are a little shorter, thicker, and closer together so the rubber feels harder.",-1
57,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But even the rubber in the topsheet is the same.,-1
58,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Just the pimple construction is different.,-1
59,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"To the OP, I would like to ask what he means by the word ""best"".",-1
60,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"I won't comment on T25; but T05, T80 and T64 are all great rubbers.",-1
61,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,There are people whose game and style of play may work with one of them slightly better than the others.,-1
62,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But they are all really great rubbers.,-1
63,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,There is a video that explains decently what the difference between each one is.,-1
64,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Once I am able to search for it, I will post it here.",-1
65,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But it has been posted to the forum many times already.,-1
66,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,That video should help you out a decent amount.,-1
67,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,To sum the info up simply:,-1
68,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"1) T05: Slower, More Spin, Higher Throw Angle.",-1
69,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"2) T64: Faster, Less Spin, Lower Throw Angle.",-1
70,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,3) T80: half way between T05 and T64.,-1
71,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"So do you want a bigger arc, more spin to spin the person off the table but a little sacrifice in speed?",-1
72,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Or do you want lower shots that don't come up as much and are faster.,-1
73,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But with an amount of spin that is easier to counter.,-1
74,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Or do you want to be half way in between the two extremes?,-1
75,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I go with slower and more spin every time.,-1
76,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Especially since T05 is more than fast enough.,-1
77,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Sent from Deep Space by Abacus,-1
78,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Here is that video for you:,-1
79,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Sent from Deep Space by Abacus,-1
80,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Most people, including Butterfly reps, discuss T25 and T25FX as rubbers that are specialized Tenergies.",-1
81,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Most discussion is about T05, T64 and T80 as those are similar rubbers along a continuum.",-1
82,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"With the term best, I mean actually the best experience with these rubbers.",-1
83,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,The video mentioned I was actually familiar with.,-1
84,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But it doesn't give much information about the touch of these series at the table.,-1
85,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Tabletennis is not only about spinny topspin.,-1
86,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,For example how does each individual rubber reacts to spinny serves?,-1
87,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I found that t05 is very sensitive to incoming spin and spinny serves.,-1
88,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But T80 is less sensitive to it etc.,-1
89,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Verstuurd vanaf mijn SM-G900F met Tapatalk,-1
90,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"T25 is also a very-very good rubber, just a way different than other Tenergies and suits less people.",-1
91,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"T80 has a little bit more control (for me), less sensitive to spin, but T05 is spinnier.",-1
92,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Yes, but that is if you are into passive returns.",-1
