,id,thread_title,reply_split,classification,reply_sub,reply_words,entity,entity_locs,spin,speed,hardness,tackiness,weight,control,throw angle,durability,blocking,looping,throw,specific_aspects_cnt,g_comparative_word_begin_idx,g_comparative,g_comparative_words,comparative_word_begin_idx,comparative,comparative_words,comparative_aspects
2,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx.",comparative,"I used Butterfly-Tenergy-05-FX before and I really appreciate the general feeling of the Butterfly-Tenergy-64-FX, which is more softer but faster than Butterfly-Tenergy-05-FX.","['I', 'used', 'Butterfly-Tenergy-05-FX', 'before', 'and', 'I', 'really', 'appreciate', 'the', 'general', 'feeling', 'of', 'the', 'Butterfly-Tenergy-64-FX', ',', 'which', 'is', 'more', 'softer', 'but', 'faster', 'than', 'Butterfly-Tenergy-05-FX', '.']","['Butterfly-Tenergy-05-FX', 'Butterfly-Tenergy-64-FX', 'Butterfly-Tenergy-05-FX']","[7, 89, 152]",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[87],['greater'],['more'],"[139, 128]","['greater', 'less']","['faster', 'softer']","['speed', 'hardness']"
3,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,On the other hand less spin too.,comparative,On the other hand less spin too.,"['On', 'the', 'other', 'hand', 'less', 'spin', 'too', '.']",[],[],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[18],['less'],['less'],[18],['less'],['less spin'],['spin']
5,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,For my style I really prefer T64fx than T05fx ( always 2.1 for me).,comparative,For my style I really prefer Butterfly-Tenergy-64-FX than Butterfly-Tenergy-05-FX ( always 2.1 for me).,"['For', 'my', 'style', 'I', 'really', 'prefer', 'Butterfly-Tenergy-64-FX', 'than', 'Butterfly-Tenergy-05-FX', '(', 'always', '2.1', 'for', 'me', ')', '.']","['Butterfly-Tenergy-64-FX', 'Butterfly-Tenergy-05-FX']","[29, 58]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[22],['greater'],['prefer'],[],[],[],[]
15,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I think all three of them are considered grippy short pips so you can create some spin but there are less effect and deception.,comparative,I think all three of them are considered grippy short pips so you can create some spin but there are less effect and deception.,"['I', 'think', 'all', 'three', 'of', 'them', 'are', 'considered', 'grippy', 'short', 'pips', 'so', 'you', 'can', 'create', 'some', 'spin', 'but', 'there', 'are', 'less', 'effect', 'and', 'deception', '.']",[],[],1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[101],['less'],['less'],[],[],[],[]
18,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"I also think 802 40 is hardest, or atleast feel the the most hard.",comparative,"I also think 802 40 is hardest, or atleast feel the the most hard.","['I', 'also', 'think', '802', '40', 'is', 'hardest', ',', 'or', 'atleast', 'feel', 'the', 'the', 'most', 'hard', '.']",[],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[37],['less'],['least'],[23],['greater'],['hardest'],['hardness']
34,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,I find Apolonia is more flexy and have softer outer ply and I love it,comparative,I find Apolonia is more flexy and have softer outer ply and I love it,"['I', 'find', 'Apolonia', 'is', 'more', 'flexy', 'and', 'have', 'softer', 'outer', 'ply', 'and', 'I', 'love', 'it']",[],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[19],['greater'],['more'],[39],['less'],['softer'],['hardness']
35,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,and I think has better quality than IF ZLC too,comparative,and I think has better quality than IF ZLC too,"['and', 'I', 'think', 'has', 'better', 'quality', 'than', 'IF', 'ZLC', 'too']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[16],['greater'],['better'],[],[],[],[]
43,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"If you block more and are a bit more passive in the short game, the more linear precision of T64 and T80 might be more to your liking.",comparative,"If you block more and are a bit more passive in the short game, the more linear precision of Butterfly-Tenergy-64 and Butterfly-Tenergy-80 might be more to your liking.","['If', 'you', 'block', 'more', 'and', 'are', 'a', 'bit', 'more', 'passive', 'in', 'the', 'short', 'game', ',', 'the', 'more', 'linear', 'precision', 'of', 'Butterfly-Tenergy-64', 'and', 'Butterfly-Tenergy-80', 'might', 'be', 'more', 'to', 'your', 'liking', '.']","['Butterfly-Tenergy-64', 'Butterfly-Tenergy-80']","[94, 119]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[13],['greater'],['more'],[],[],[],[]
45,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I think T25FX is better than T64 for blocking and short game.,comparative,I think Butterfly-Tenergy-25-FX is better than Butterfly-Tenergy-64 for blocking and short game.,"['I', 'think', 'Butterfly-Tenergy-25-FX', 'is', 'better', 'than', 'Butterfly-Tenergy-64', 'for', 'blocking', 'and', 'short', 'game', '.']","['Butterfly-Tenergy-25-FX', 'Butterfly-Tenergy-64']","[8, 47]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,[17],['greater'],['better'],[],[],[],[]
51,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I like hard sponge so t05 is my favorite.,comparative,I like hard sponge so Butterfly-Tenergy-05 is my favorite.,"['I', 'like', 'hard', 'sponge', 'so', 'Butterfly-Tenergy-05', 'is', 'my', 'favorite', '.']",['Butterfly-Tenergy-05'],[22],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
