,id,thread_title,reply_split,classification
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"Hi stao, the response of the T64fx changes depending on the the blade you're using.",0
1,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,Usually I have a Primorac Carbon and I'm offensive player with agressive top spin.,0
2,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx.",1
3,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,On the other hand less spin too.,2
4,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,Very good for block.,4
5,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,For my style I really prefer T64fx than T05fx ( always 2.1 for me).,1
6,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,I bought recently the complete Garaydia family to see if from the blade I had a possibility to improve my skills and I would say no.,0
7,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"With the ALC it is too soft and slow for me, with the T5000 too fast and the ZLC has a softer touch and could be an alternative.",0
8,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,I'm truly amazed about the huge difference between those 3 blades.,0
9,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,To finish I'm currently glueing a Dignics 05 on my Primorac carbon to test as the season ended.,0
10,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,after a training I'll see if it fits for me or if I have to test it with the garaydia T5000 or Garaydia ZLC as I'm seeking more spin...,0
11,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I'm also interested.,-2
12,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,maybe TTD can start reviewing some sp rubbers?,-2
13,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I do not know if tabletennisdaily can reiview short pips.,-2
14,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Think they need someone that know how to play with them.,-2
15,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I think all three of them are considered grippy short pips so you can create some spin but there are less effect and deception.,-2
16,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"802 40 is not a rubber with inbuilt glue effect, think the two other are.",-2
17,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,So the two latter is proably a bit faster?,-2
18,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"I also think 802 40 is hardest, or atleast feel the the most hard.",-2
19,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Try google and you will find alot.,-2
20,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Or ask at oaak tabletennis forum.,-2
21,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,They know more about pimples than guys here.,-2
22,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,How do you want to play and use your short pimple?,-2
23,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Short pimple can be pretty different.,-2
24,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Some good for one style and some better for another.,-2
25,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"I`ve used to play for several months with 802-40 2mm on 35 degree sponge heavy boosted,",-2
26,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Also tested Impartial XS.,-2
27,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,Both on shackehand BH,-2
28,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,To me impartial XS reacts too much on incoming spin and flat hits were to predictable for my oponnet.,-2
29,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I suppose it is ok on CPen or as Forhand rubber.,-2
30,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"802-40 is very balanced but still feels a litle hard on touch shots,",-2
31,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I suggest you to conisder Tutle Summer 3C it feels as upgraded 802-40- it is most balanced short pips i have ever tried.,-2
