,id,thread_title,reply
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"Hi stao, the response of the T64fx changes depending on the the blade you're using. Usually I have a Primorac Carbon and I'm offensive player with agressive top spin. I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx. On the other hand less spin too. Very good for block. For my style I really prefer T64fx than T05fx ( always 2.1 for me).I bought recently the complete Garaydia family to see if from the blade I had a possibility to improve my skills and I would say no.With the ALC it is too soft and slow for me, with the T5000 too fast and the ZLC has a softer touch and could be an alternative. I'm truly amazed about the huge difference between those 3 blades.To finish I'm currently glueing a Dignics 05 on my Primorac carbon to test as the season ended. after a training I'll see if it fits for me or if I have to test it with the garaydia T5000 or Garaydia ZLC as I'm seeking more spin..."
1,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I'm also interested.
2,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,maybe TTD can start reviewing some sp rubbers?
3,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"I do not know if tabletennisdaily can reiview short pips. Think they need someone that know how to play with them. I think all three of them are considered grippy short pips so you can create some spin but there are less effect and deception. 802 40 is not a rubber with inbuilt glue effect, think the two other are. So the two latter is proably a bit faster? I also think 802 40 is hardest, or atleast feel the the most hard. Try google and you will find alot. Or ask at oaak tabletennis forum. They know more about pimples than guys here. How do you want to play and use your short pimple? Short pimple can be pretty different. Some good for one style and some better for another."
4,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"I`ve used to play for several months with 802-40 2mm on 35 degree sponge heavy boosted,Also tested Impartial XS. Both on shackehand BHTo me impartial XS reacts too much on incoming spin and flat hits were to predictable for my oponnet. I suppose it is ok on CPen or as Forhand rubber.802-40 is very balanced but still feels a litle hard on touch shots,I suggest you to conisder Tutle Summer 3C it feels as upgraded 802-40- it is most balanced short pips i have ever tried."
5,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,"apolonia weight more, u can find between 85-90 gramsIF ZLC- 80-85I find Apolonia is more flexy and have softer outer ply and I love itand I think has better quality than IF ZLC too I find something special in Apolonia and this is the best blade right now if money is not the problem"
6,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,thanks Konrad. Is the apalonia faster then the Innerforce?
7,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,Apolonia is also innerforce...
8,5f686bcdb59794ca78c70905,What is the difference between Apalonia ZLC vs Innerforce ZLC,If you want to save money.I think DHS fang bo ALC or DHS H301 is a good choices for you that It is the same innerforce with different outer ply Limba for fang bo and Koto for H301.
9,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Sent from my SM-G900F using Tapatalk
10,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"If you loop everything and are active in the short game with spin manipulation, Tenergy 05. If you block more and are a bit more passive in the short game, the more linear precision of T64 and T80 might be more to your liking."
11,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I'm not sure about that. I think T25FX is better than T64 for blocking and short game. I don't know anything about the T80 though.
12,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Lifehack: buy T05 first, then once it wears out, buy T80, or vice versa. This way you will learn by yourself how these rubbers play for you. And the difference between them is not that big so you can go from one to another with a minimal adjustment."
13,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Depend on your skill. I like hard sponge so t05 is my favorite.
14,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"The sponge on T05, T80, T64 and T25 is all the same. The difference is not the sponge. It is the pimple construction. T64 has longer thinner pimples with more space between pimples so the pips give more and the rubber feels softer. T05 pimples are a little shorter, thicker, and closer together so the rubber feels harder. But even the rubber in the topsheet is the same. Just the pimple construction is different. To the OP, I would like to ask what he means by the word ""best"". I won't comment on T25; but T05, T80 and T64 are all great rubbers. There are people whose game and style of play may work with one of them slightly better than the others. But they are all really great rubbers. There is a video that explains decently what the difference between each one is. Once I am able to search for it, I will post it here. But it has been posted to the forum many times already. That video should help you out a decent amount. To sum the info up simply:1) T05: Slower, More Spin, Higher Throw Angle. 2) T64: Faster, Less Spin, Lower Throw Angle. 3) T80: half way between T05 and T64. So do you want a bigger arc, more spin to spin the person off the table but a little sacrifice in speed? Or do you want lower shots that don't come up as much and are faster. But with an amount of spin that is easier to counter. Or do you want to be half way in between the two extremes?I go with slower and more spin every time. Especially since T05 is more than fast enough. Sent from Deep Space by Abacus"
15,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Here is that video for you:Sent from Deep Space by Abacus
16,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Most people, including Butterfly reps, discuss T25 and T25FX as rubbers that are specialized Tenergies. Most discussion is about T05, T64 and T80 as those are similar rubbers along a continuum."
17,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"With the term best, I mean actually the best experience with these rubbers. The video mentioned I was actually familiar with. But it doesn't give much information about the touch of these series at the table. Tabletennis is not only about spinny topspin. For example how does each individual rubber reacts to spinny serves? I found that t05 is very sensitive to incoming spin and spinny serves. But T80 is less sensitive to it etc. Verstuurd vanaf mijn SM-G900F met Tapatalk"
18,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"T25 is also a very-very good rubber, just a way different than other Tenergies and suits less people. T80 has a little bit more control (for me), less sensitive to spin, but T05 is spinnier."
19,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Yes, but that is if you are into passive returns. If you like to push and spin aggressively, the T05 reaction is a benefit. It's when you try to just touch the serve without any acceleration that using T05 is a nightmare."
20,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"And that term best is still about preference and each person will feel something slightly different is ""best"". Like, for me, hands down, I like T05 more than the others for forehand. For backhand T05, T64 and T05FX have all worked fine. If I used it T80 may be fine as well. But I remember when I tried it, I didn't try for that long and was used to T05FX and didn't give it much of a chance. The extra spin and higher throw seems to be more important to my forehand than my backhand. Sent from Deep Space by Abacus"
21,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Butterfly Rubber Matrix
22,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Trial and error. Results may vary. 05 64 and 80 all good. Will depend a lot on blade.
