,reply_split,classification
516,"Could you let me know if the Gambler folks provided an approximate hardness for the different sponges and, if so, which hardness scale it is based on?",0
774,Plenty of lighter Chinese sheets.,0
1935,That would be great,0
378,"Sorry this won't be a direct answer.But in your situation, I would buy H3 Provincial, which is a very predictable rubber in my experience.",2
2606,[/quote]ok rejected idea of getting Sigmaso now left:Vega ProOmega Proi wondering if Vega Pro has good speed on defensive blade like Donic Defplay Senso (1 player said it will be too slow)about Omega Pro.. what version IV or V?,0
1125,G1 is very easy to brush with.,3
4154,I play against Rasant pretty much every time I play so I'm getting quite used to what it can and can't do.,0
241,"If driving's your thing, use Tenergy.",2
2066,"Well, i tested the two rubbers and for my game at the moment the Acuda S2 it's better on Rossi emotion.",2
4028,So the quality of the players ball contact seems the major factor.,0
1046,"For me and my skills, mxs was rock hard and quite uncontrollable, but very fast and very spinny I'd say.",3
1115,Did you have to adjust your stroke at all from R7 to G1?,0
1309,"My game has improved noticeably.They are a tiny bit heavier than the Snipe III but I got used to the weight difference very quickly.They play similar to the Snipe but offer a little more control / placement and a lot more spin.The throw is also slightly higher than the Snipe and the arc is greater too.In fact I would say that they do everything that the Snipe did but just that little bit better in all aspects.Speed, control, spin are all noticeably better with the Hype El 40.Is the Hype EL worth the extra cost compared to the Snipe?All things considered I would say yes.",0
693,I didn't find a problem with pushes.,4
4022,"I get a load of underspin on serves, pushes and over the table chops, which feels likes one of its greatest assets.",0
958,"If you don't like the rubbers, throw it in the bag to lend to other people and go to Plan B. Iskandar",0
473,"However, i have tried provincial with both, and did not find the difference to be that great.",0
926,"G1 is pretty close to the ever-popular, dearly-departed Adidas P7.",1
2602,Your best bet is omega V pro by the sounds of it.,0
3543,+1 Skyline TG3 Neo is (imo) MUCH less demanding in comparison to H3N and tad more versatile.Best choice is to buy commercial pieces (it's relatively cheap so you can try H3N AND TG3 - better to start with TG3).,1
428,I found Omega 7 to be one of the few with more grip than tenergy...,1
508,"The blue diamond is the sponge on the ""basic"" Burst and Big Gun.",0
4376,Both are excellent rubbers!,0
4093,Some like Foam prefer Rasant whilst others claim it lacks the spin of T05 and is inferior for looping.,0
212,"But I would like a Rubber on my back hand to have more speed, spin and good control too.",0
2127,Could it be possible that he's having trouble controlling the sensitivity of spin that Baracuda might have instead of the speed?,0
803,"https://www.aliexpress.com/store/202364 ... rchText=61 61 Seconds products, a grear variety of sponges/ topsheets.Be happy.",0
453,Tibhar match is as good as zhang Jike super zlc.,0
930,"Can't say I remember anything unusual about it - fairly recently I dug it up to mount on my ""April Fool's Bat"" - it's got long pips on one side and both sides are black!",0
1359,My question should sound like: do You know any good alternative rubber for T64 (low trajectory and high spin with good control)?,0
900,I'm now thinking about what rubber to buy for my BH if not a tensor.Thanks!,0
3591,It was soooo lively and bouncy and not as spinny as my former GSE when brushing looping.,2
4361,thank you ashish!,0
1403,With people under my level I attack a lot because they are scared then and it gives me lots of points.,0
4053,for a topspin style game... the Rasant seemed to have more speed than spin when you start looping harder.,0
357,Sometimes it would behave normally as before and sometimes it would throw very high.,0
840,"And Tensors really aren't all that much faster or hard to use, in the end I can play with almost anything, it doesn't effect my game very much.",0
1306,"Feels a bit firmer, less edgy, about equally hard, very durable and quite affordable to boot, speedy but not like MX-P, spinny but not like MX-P. Great rubber if you’re below pro level.",2
352,But I wonder if the rule changes with different types of rubber (i.e.,0
2556,Sigma II pro has better dwell and is still very fast.,3
1178,How bout MXS instead?,0
114,"If I started to change my 64fx for 80fx and test them I had found my solution easily and by the way, saved a lot of money instead of buying 3 Garaydia and 2 sets of Dignics....",0
102,Butterfly Rubber Matrix,0
508,"If you understand the basic properties of certain blades and the rubbers, you have an idea of how will play and what is suitable for yourself or a certain player.",0
399,Thanks!,0
1374,"Since you are already familiar with rakza 7 soft(which is a great rubber in my opinion), I'd say use it and focus on your technique.",0
177,"The 2 rubbers you suggested is all good for serve, chopping, rallies etc.",0
3553,1#No one of them.,0
970,I think it is because some JNT members use it.,0
4348,I have to talked to someone that uses Omega 4 in another state and he said it was a fairly good rubber.,0
1775,Found (at least) two which I could get easily: Falco long and Maximizer.,0
4282,This vid is remarkable as my partner and BOTH opponents were using Long Pimples on BH.,0
1067,Granted this is my experience but I've read from quite a few others that this is indeed a tendency of the evolution series.,0
4409,!,0
1894,I think shops have preorders etc.,0
1425,(average spin),0
1478,"506 special, N766 special , N811 special , W968 special, W997 special",0
174,"I would say, play against any noob, and you can win your point off the serve.",0
1450,Since I am quite satisfied with EL-P I will try EL-S.,0
958,But I don't like the older ESN rubbers with the plastic ball - otherwise I'd probably be using G1 (in the absence of Adidas P7).,0
359,Iskandar,0
2939,FX-P. Used this on the FH of a SZLC & and both sides of a IF ZLC.,0
451,You probably shouldnt post subjective advices misleading people.,0
1378,I can feel the ball sinking into the rubber quite well while not getting mushy.,0
310,"If long, spinny rallies is how you tend to lean towards, Baracuda would be a better rubber.",2
1897,"What for a blade did you use (I may have overlooked it here) because that could be the decisive factor here.I'd like you to check KTL (LKT) Pro XP and maybe a softer, more flexible blade before spending too much on an xtra-advanced rubber.Sounds like you've had one of these heavy china-concrete rubbers back then...",0
4658,"I have played table tennis for many years, so I am not a beginner who needs to practice pushes in particular.",0
4659,Tensors are generally bouncier than older rubbet types.,0
1106,"I also used to play with Karis M and Tenergy 05 too, remember?",0
