label,value
Andro-Rasant,Andro Rasant
Butterfly-Tenergy,Butterfly Tenergy
Butterfly-Tenergy-05,Butterfly Tenergy 05
Butterfly-Tenergy-05-FX,Butterfly Tenergy 05 FX
Butterfly-Tenergy-25,Butterfly Tenergy 25
Butterfly-Tenergy-64,Butterfly Tenergy 64
Butterfly-Tenergy-80,Butterfly Tenergy 80
Chinese-rubbers,Chinese rubbers
DHS-Hurricane-2,DHS Hurricane 2
DHS-Hurricane-3,DHS Hurricane 3
DHS-Hurricane-8,DHS Hurricane 8
Donic-Baracuda,Donic Baracuda
Donic-Baracuda-Big-Slam,Donic Baracuda Big Slam
Donic-Bluefire-JP-03,Donic Bluefire JP 03
Donic-Vario-Big-Slam,Donic Vario Big Slam
Galaxy-Mercury-II,Galaxy Mercury II
Galaxy-Moon,Galaxy Moon
Tibhar-Evolution-EL-P,Tibhar Evolution EL P
Tibhar-Evolution-EL-S,Tibhar Evolution EL S
Tibhar-Evolution-MX-P,Tibhar Evolution MX P
Tibhar-Evolution-MX-S,Tibhar Evolution MX S
Yasaka-Rakza-7,Yasaka Rakza 7
Yasaka-Rakza-7-Soft,Yasaka Rakza 7 Soft
