id|comment_id|comment_text|entity1|entity2|aspect|direction
0|5f686bc7b59794ca78c70902|I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx.|Butterfly-Tenergy-05-FX|Butterfly-Tenergy-64-FX|speed|l
1|5f686bc7b59794ca78c70902|I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx.|Butterfly-Tenergy-05-FX|Butterfly-Tenergy-64-FX|hardness|g
2|5f686bdbb59794ca78c7090b|T05 pimples are a little shorter, thicker, and closer together so the rubber feels harder.|Butterfly-Tenergy-05|Butterfly-Tenergy-80|hardness|g
3|5f686bdbb59794ca78c7090b|1) T05: Slower, More Spin, Higher Throw Angle.|Butterfly-Tenergy-05|Butterfly-Tenergy-80|spin|g
4|5f686bdbb59794ca78c7090b|1) T05: Slower, More Spin, Higher Throw Angle.|Butterfly-Tenergy-05|Butterfly-Tenergy-80|speed|l
5|5f686bdbb59794ca78c7090b|1) T05: Slower, More Spin, Higher Throw Angle.|Butterfly-Tenergy-05|Butterfly-Tenergy-80|throw angle|g
6|5f686bdbb59794ca78c7090b|T80 has a little bit more control (for me), less sensitive to spin, but T05 is spinnier.|Butterfly-Tenergy-05|Butterfly-Tenergy-80|spin|g
7|5f686bdbb59794ca78c7090b|T80 has a little bit more control (for me), less sensitive to spin, but T05 is spinnier.|Butterfly-Tenergy-05|Butterfly-Tenergy-80|control|l
8|5f686bdbb59794ca78c7090b|After testing Dignics 05 on a zlc blade after the end of last season I'm back to my primorac carbon this time with T80fx, that's a better combination for me as it gives me what I was looking for, so a bit more spin and control than T64fx.|Butterfly-Dignics-05|Butterfly-Tenergy-64-FX|spin|g
9|5f686c4cb59794ca78c70952|Yes tenergy 80 had more control but that's just a matter of getting used to your rubber and knowing how it works and yes it might be more forgiving too.|Butterfly-Tenergy-64|Butterfly-Tenergy-80|control|l
10|5f686c4cb59794ca78c70952|T64 has MUCH more spin than T80…|Butterfly-Tenergy-64|Butterfly-Tenergy-80|spin|g
11|5f686c800ae0898b9220ac59|Tenergy has a slightly higher throw angle than Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.|Butterfly-Tenergy|Donic-Baracuda|throw angle|g
12|5f686c800ae0898b9220ac59|However, Baracuda still has a medium-high throw so they're both perfectly fine for looping.|Butterfly-Tenergy-05|Donic-Baracuda|throw angle|l
13|5f686c800ae0898b9220ac59|In my personal opinion, Baracuda has more spin than Tenergy, however it lacks a little bit of power and control compared to Ten.|Butterfly-Tenergy|Donic-Baracuda|spin|l
14|5f686c800ae0898b9220ac59|Baracuda is not as heavy, but in my opinion, just as good.|Butterfly-Tenergy-05|Donic-Baracuda|weight|g
15|5f686c800ae0898b9220ac59|Tenergy is noticeably faster than Baracuda, though not quite as spinny.|Butterfly-Tenergy|Donic-Baracuda|speed|g
16|5f686c800ae0898b9220ac59|it surprises me that Ten05 is less durable(price) and less spinny then the Baracuda.|Butterfly-Tenergy-05|Donic-Baracuda|spin|l
17|5f686cd89258cbc2661f82ff|Tenergy has a slightly higher throw angle than Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.|Butterfly-Tenergy|Donic-Baracuda|throw angle|g
18|5f686cd89258cbc2661f82ff|However, Baracuda still has a medium-high throw so they're both perfectly fine for looping.|Butterfly-Tenergy-05|Donic-Baracuda|throw angle|l
19|5f686cd89258cbc2661f82ff|In my personal opinion, Baracuda has more spin than Tenergy, however it lacks a little bit of power and control compared to Ten.|Butterfly-Tenergy|Donic-Baracuda|spin|l
20|5f686cd89258cbc2661f82ff|Baracuda is not as heavy, but in my opinion, just as good.|Butterfly-Tenergy-05|Donic-Baracuda|weight|g
21|5f686cd89258cbc2661f82ff|Tenergy is noticeably faster than Baracuda, though not quite as spinny.|Butterfly-Tenergy|Donic-Baracuda|speed|g
22|5f686cd89258cbc2661f82ff|it surprises me that Ten05 is less durable(price) and less spinny then the Baracuda.|Butterfly-Tenergy-05|Donic-Baracuda|spin|l
