name,speed,spin,tackiness,overall,price,ratings,brand
401,,,,,58,0,(No Brand)
Bokai Stayer,8.4,8.2,8.3,9,25,3,(No Brand)
Carlton Vapour Trail R1,4,3,2,4,5,1,(No Brand)
(No Brand) Der Materialspezialist Spinparasite,,,,,,0,(No Brand)
Dunlop G-Force Predator,,,,,8,0,(No Brand)
Eloy Foster,,,,,,0,(No Brand)
Karl - Heinz Dosdall,,,,,,0,(No Brand)
Omega Vii,,,,,,0,(No Brand)
Razka7,7.2,5,5,7,,1,(No Brand)
Revolution Max 2,8.6,9,0,9,18,1,(No Brand)
Spinlab Vortex,4,0,0,10,,1,(No Brand)
Target Airtec Fx,9.5,9.4,8,9,40,1,(No Brand)
Uniker,5,6,2,5,8,1,(No Brand)
V 01,,,,,60,0,(No Brand)
Venom Power,6,6.5,0,5.5,10,1,(No Brand)
Yinhe D90000,10,10,10,10,,1,(No Brand)
Yupiter Maxtense,,,,,,0,(No Brand)
61 Second Eagle,8.2,8.7,2.8,8.3,21,4,61 Second
61 Second Kangaroo,7.7,8,5.3,7.4,16,8,61 Second
61 Second Lightning DS (Non-tacky),7.3,7.5,2.2,7.2,15,5,61 Second
61 Second Lightning DS LST,7,8.8,8.4,8.7,12,9,61 Second
61 Second Lightning DSÂ PRO,8.5,8.6,3.5,8.6,15,2,61 Second
61 Second Thunder LM ST,7.5,8.9,6.3,8.5,12,6,61 Second
999 999T-2,8.5,8.5,5,8.5,20,1,999
999 999T-3,,,,,20,0,999
999 Super 999T,7.6,9.1,8.9,8.6,20,45,999
999 T-1,7.7,9.1,8.7,8.5,20,3,999
999 T1,,,,,,0,999
Adidas Blaze Speed,9,6,0,9,54,1,Adidas
Adidas Blaze Spin,,,,,54,0,Adidas
Adidas E-Razor D30,8.5,7,2,6.5,39,1,Adidas
Adidas P3,8.7,8.4,1.8,8.6,70,18,Adidas
Adidas P5,8.9,9.3,2.7,9.1,52,27,Adidas
Adidas P7,8.8,9.5,2.1,9.4,50,80,Adidas
Adidas R4 Response,8.3,7.5,0.7,8.5,60,6,Adidas
Adidas R6 Response,8.8,8.9,2.1,8.9,60,8,Adidas
Adidas SynTec,8.3,8.4,1.8,8.5,59,9,Adidas
Adidas SynTec Fast,9,8.6,2.2,9,54,9,Adidas
Adidas SynTec SF,,,,,59,0,Adidas
Adidas TenZone,9.2,9.3,1.9,9,79,18,Adidas
Adidas TenZone SF,8.8,8.8,0.7,8.6,79,14,Adidas
Adidas Tenzone Ultra,9.3,9.5,2.3,9.5,50,18,Adidas
Adidas TenZone Ultra SF,9.1,9.3,2.4,9.5,40,14,Adidas
Air Assassins,8.4,8.1,3.5,9,22,2,Air
Air DefenderS,6.8,7.7,7.7,8.7,16,3,Air
Air Illumina,8.3,8.5,3.2,8.5,16,10,Air
Air Illumina X25,6.6,6.1,0,7,25,3,Air
Air Illumina X88,9,8.9,2,9.1,25,24,Air
Air Illumina X90,,,,,25,0,Air
Air Scirocco SF,8.2,8.2,3.9,8.8,25,8,Air
Air Scirocco SN,,,,,25,0,Air
Air Scirocco SR,8,5,0,7,25,1,Air
Andro Backside,5.5,10,10,10,30,2,Andro
Andro Backside 2.0 C,7,9.2,3.9,8.8,30,8,Andro
Andro Backside 2.0D,7.8,9.1,3.7,9,43,13,Andro
Andro EX-8,8,8,6.5,,29,2,Andro
Andro Focus,8.4,8.2,6,8.1,35,2,Andro
Andro Good,8.8,9.1,2.8,9.2,35,10,Andro
Andro GTT 40,8.5,9,1.8,9,25,8,Andro
Andro GTT 45,8.4,8.4,0.9,8.7,25,7,Andro
Andro Hexer,8.7,9.1,2.4,9,47,47,Andro
Andro Hexer Duro,9.1,9.1,3,9,44,37,Andro
Andro Hexer Grip,8.9,9.3,0.8,9.3,44,22,Andro
Andro Hexer Grip SFX,8.7,9.4,1.5,9.2,41,28,Andro
