"comment_idx"|"id"|"thread_title"|"reply_split"|"classification"|"relations"|"Entity 1"|"Entity 2"|"Attribute"|"Direction"||||||||
177|"5f6c21e6035f29fdaf67ffa7"|"Are Tenergy/Dignics rubbers really the best?"|"Oh yeah.. the now defunct Three Sword Red Dragon, which was supposed to be ""better than Butterf-- Tenerg-""  and before that, Rakza 7), but it's hard to tell."|1|"[[‘Three Sword Red Dragon’, ‘Tenergy 05’,’Overall’,’g’],[‘Three Sword Red Dragon’,’Rakza 7’,’Overall’,’g’]]"|"Three Sword Red Dragon"|"Tenergy"|"Overall"|"g"|"Three Sword Red Dragon"|"Rakza 7"|"Overall"|"g"||||
198|"5f6c21e6035f29fdaf67ffa7"|"Are Tenergy/Dignics rubbers really the best?"|"I like that T05 pushes over the table are flat and spinny and gives you a decent serve return that sometimes causes opponent to net if you push fast enough,bear in mind this is one of the highest/arcing throw rubbers so the best of both worlds,even on my thin flex def blade,+longer lasting than most factory boosted rubbers so the extra cost evens out somewhat in the long runI also tried Dignics 05 and for me was inferior to T05 on all shots,serve return in particular where the ball was way too high and I couldn't find a way with it,maybe I'm too used to the t05 where everything seems to work on autopilot for me."|1|"[[‘Tenergy 05’, ‘Dignics 05’,’Serve Return’,’g’]]"|"Tenergy 05"|"Dignics 05"|"Serve Return"|"g"||||||||
262|"5f6c221d035f29fdaf67ffc2"|"Opinions about Tibhar MX-S for FH or BH"|"I used to play with MX-S 1.9-2.0 mm on my FH before I started trying out hybrid rubbers.MX-S has the hardest sponge among the Evolution series (and thus is the heaviest one, I believe)."|2|"[['Evolution MX-S','Evolution MX-P','Hardness','g']]"|"Evolution MX-S"|"Evolution MX-P"|"Hardness"|"g"||||||||
263|"5f6c221d035f29fdaf67ffc2"|"Opinions about Tibhar MX-S for FH or BH"|"Due to that, it isn't as springy as MX-P and feels a bit closer to the hybrid rubbers - although the throw is still higher than theirs."|2|"[['Evolution MX-P','Evolution MX-S','Sponginess','g']]"|"Evolution MX-P"|"Evolution MX-S"|"Sponginess"|"g"||||||||
270|"5f6c221d035f29fdaf67ffc2"|"Opinions about Tibhar MX-S for FH or BH"|"I agree with the above - definitely more demanding than MX-P."|2|"[['Evolution MX-S','Evolution MX-P','Requirement','g']]"|"Evolution MX-S"|"Evolution MX-P"|"Requirement"|"g"||||||||
280|"5f6c221d035f29fdaf67ffc2"|"Opinions about Tibhar MX-S for FH or BH"|"Chopping is spiny and easier then with other modern catapult rubbers but you need a solid technique to tame its speed even with minimal sponge thickness."|2|"[['Evolution MX-S','Catapult ','Chopping','g']]"|"Evolution MX-S"|"Catapult "|"Chopping"|"g"||||||||
298|"5f6c221d035f29fdaf67ffc2"|"Opinions about Tibhar MX-S for FH or BH"|"It sounds a little like Tibhar Hybrid K1."|2|"[['Evolution MX-S','Tibhar Hybrid K1','Overall','e']]"|"Evolution MX-S"|"Tibhar Hybrid K1"|"Overall"|"e"||||||||
300|"5f6c221d035f29fdaf67ffc2"|"Opinions about Tibhar MX-S for FH or BH"|"If not for having the awesome t05 , mxs would be next best thing to me, seems like a durable rubber, even more than t05"|2|"[['Evolution MX-S','Tenergy 05','Durability','g']]"|"Evolution MX-S"|"Tenergy 05"|"Durability"|"g"||||||||
307|"5f6c26766d99ef02106d724f"|"Loop/Counterloop rubber for FH"|"I've used both T05 and Fastarc G-1 with great success on the VKM."|1|"[['Tenergy 05','Fastarc G-1','Overall','e']]"|"Tenergy 05"|"Fastarc G-1"|"Overall"|"e"||||||||
342|"5f6c26766d99ef02106d724f"|"Loop/Counterloop rubber for FH"|"will partly depend on how much capault the rubber has, as a low catapult hard rubber like H3 will require a lot more effort than say Rasanter 47, Omega 7 pro or MXP"|1|"[['Hurricane 3','Rasanter 47','Requirement','g']]"|"Hurricane 3"|"Rasanter 47"|"Requirement"|"g"||||||||
