thread_title,URL,author,num_reply
OOAK Interview with Kees - the interview!,./viewtopic.php?f=44&t=31216&sid=ccebb0dae8b88869447c9a2d77da18d2,haggisv,10
Introduce yourself,./viewtopic.php?f=44&t=431&sid=ccebb0dae8b88869447c9a2d77da18d2,haggisv,2378
Compiling a list of all ESN Tensor Sponge hardness levels,./viewtopic.php?f=44&t=24689&sid=ccebb0dae8b88869447c9a2d77da18d2,haggisv,67
Andro Equivalent rubbers,./viewtopic.php?f=44&t=28880&sid=ccebb0dae8b88869447c9a2d77da18d2,haggisv,26
Inverted Rubber review format / proforma - PLEASE USE THIS!,./viewtopic.php?f=44&t=6398&sid=ccebb0dae8b88869447c9a2d77da18d2,haggisv,32
CURRENT TENSOR LIST + Tensor Facts & How to spot a Tenso,./viewtopic.php?f=44&t=3906&sid=ccebb0dae8b88869447c9a2d77da18d2,Wookie,160
Hurricane 3 blue turbo rubber review... chopper's delight!?,./viewtopic.php?f=44&t=37305&sid=ccebb0dae8b88869447c9a2d77da18d2,skilless_slapper,8
Xiom Vega Europe DF durability,./viewtopic.php?f=44&t=37315&sid=ccebb0dae8b88869447c9a2d77da18d2,johndoe2019,2
Forehand Rubber for Defplay Senso (Chopping and Looping),./viewtopic.php?f=44&t=36753&sid=ccebb0dae8b88869447c9a2d77da18d2,Hopsquatch,11
chop vs spin rubber -- which characteristics differ?,./viewtopic.php?f=44&t=37293&sid=ccebb0dae8b88869447c9a2d77da18d2,KindButcher,5
Joola rhyzer 43 an improvement or worth buying? Help me pick,./viewtopic.php?f=44&t=32742&sid=ccebb0dae8b88869447c9a2d77da18d2,Sidespinforwin,9
Plastic balls = hard sponge for inverted rubbers?,./viewtopic.php?f=44&t=37287&sid=ccebb0dae8b88869447c9a2d77da18d2,Spartan62,2
Giant Dragon Submarine for chopping,./viewtopic.php?f=44&t=20759&sid=ccebb0dae8b88869447c9a2d77da18d2,BarSeHyuk,18
How to unshrink a tensor,./viewtopic.php?f=44&t=37116&sid=ccebb0dae8b88869447c9a2d77da18d2,LordCope,14
Are Tenergy/Dignics rubbers really the best?,./viewtopic.php?f=44&t=37246&sid=ccebb0dae8b88869447c9a2d77da18d2,dan,11
dignics 09c vs dignics 05 review,./viewtopic.php?f=44&t=37126&sid=ccebb0dae8b88869447c9a2d77da18d2,pandausagikoara,12
DHS Hurricane 3 Neo 2.15 vs. 2.2,./viewtopic.php?f=44&t=36750&sid=ccebb0dae8b88869447c9a2d77da18d2,mynamenotbob,4
Gambler Rubbers,./viewtopic.php?f=44&t=35722&sid=ccebb0dae8b88869447c9a2d77da18d2,Bobv,45
Sponge Hardness Scales,./viewtopic.php?f=44&t=23663&sid=ccebb0dae8b88869447c9a2d77da18d2,haggisv,27
Xiom Omega VII Hyper and Vega X - very fast rubbers!,./viewtopic.php?f=44&t=36610&sid=ccebb0dae8b88869447c9a2d77da18d2,haggisv,27
Butterfly Dignics 09C,./viewtopic.php?f=44&t=36620&sid=ccebb0dae8b88869447c9a2d77da18d2,haggisv,38
Derwind Rayhe & Stolz,./viewtopic.php?f=44&t=32693&sid=ccebb0dae8b88869447c9a2d77da18d2,Croudy,4
❖ EXPERIMENTAL RUBBBERs BY DHS ❖,./viewtopic.php?f=44&t=37144&sid=ccebb0dae8b88869447c9a2d77da18d2,igorponger,6
TinArc 3 vs AK47 Red,./viewtopic.php?f=44&t=35471&sid=ccebb0dae8b88869447c9a2d77da18d2,fmarek,8
Friendship 729 Sky Wing,./viewtopic.php?f=44&t=5252&sid=ccebb0dae8b88869447c9a2d77da18d2,Kees,16
Sriver-HE,./viewtopic.php?f=44&t=33717&sid=ccebb0dae8b88869447c9a2d77da18d2,iskandar taib,29
Red Hurricane 3 Neo Color Bleed ,./viewtopic.php?f=44&t=37084&sid=ccebb0dae8b88869447c9a2d77da18d2,JulianTT,12
Loooking for FH rubber for Stiga Allround Classic WRB,./viewtopic.php?f=44&t=36559&sid=ccebb0dae8b88869447c9a2d77da18d2,merlin el mago,24
Average weight sponge 2 or 2.1mm without rubber,./viewtopic.php?f=44&t=37075&sid=ccebb0dae8b88869447c9a2d77da18d2,merlin el mago,12
WTB Xiom Omega 7 Hyper in Europe,./viewtopic.php?f=44&t=37067&sid=ccebb0dae8b88869447c9a2d77da18d2,merlin el mago,2
Alternatives to Rasant Powergrip ,./viewtopic.php?f=44&t=32612&sid=ccebb0dae8b88869447c9a2d77da18d2,Perham,14
KTL Rapid line,./viewtopic.php?f=44&t=36741&sid=ccebb0dae8b88869447c9a2d77da18d2,iskandar taib,7
FH rubber for attacks close to the table?,./viewtopic.php?f=44&t=37018&sid=ccebb0dae8b88869447c9a2d77da18d2,Skendarn,7
Condition of my yinhe mercury-II rubber.,./viewtopic.php?f=44&t=36953&sid=ccebb0dae8b88869447c9a2d77da18d2,vishal01,10
Dawei 2008 XP vanished!,./viewtopic.php?f=44&t=36971&sid=ccebb0dae8b88869447c9a2d77da18d2,1shot,7
Sponge thickness fast arc G1,./viewtopic.php?f=44&t=36909&sid=ccebb0dae8b88869447c9a2d77da18d2,1shot,7
Two-Layer topsheet.,./viewtopic.php?f=44&t=36062&sid=ccebb0dae8b88869447c9a2d77da18d2,igorponger,11
Victas Vs>401,./viewtopic.php?f=44&t=21009&sid=ccebb0dae8b88869447c9a2d77da18d2,manofan,122
something similar to an old sheet of FXS?,./viewtopic.php?f=44&t=35766&sid=ccebb0dae8b88869447c9a2d77da18d2,ChasFox,7
Good forgiving rubber for backhand,./viewtopic.php?f=44&t=36380&sid=ccebb0dae8b88869447c9a2d77da18d2,MartijnH,12
Best tacky rubber for ABS-ball?,./viewtopic.php?f=44&t=35229&sid=ccebb0dae8b88869447c9a2d77da18d2,Def-attack,40
Opinions about Tibhar MX-S for FH or BH,./viewtopic.php?f=44&t=33448&sid=ccebb0dae8b88869447c9a2d77da18d2,ojeda11,15
feedback required for rubbers,./viewtopic.php?f=44&t=36177&sid=ccebb0dae8b88869447c9a2d77da18d2,vishal01,10
Butterfly Rozena,./viewtopic.php?f=44&t=31199&sid=ccebb0dae8b88869447c9a2d77da18d2,Japsican,22
New Rakza version,./viewtopic.php?f=44&t=36864&sid=ccebb0dae8b88869447c9a2d77da18d2,1shot,0
Joola Rhyzer Pro 45 vs 50. Review anyone?,./viewtopic.php?f=44&t=36549&sid=ccebb0dae8b88869447c9a2d77da18d2,YV13,4
Will Rubber Shrink?,./viewtopic.php?f=44&t=30104&sid=ccebb0dae8b88869447c9a2d77da18d2,henrywilliam,23
Three Sword Red Dragon,./viewtopic.php?f=44&t=35562&sid=ccebb0dae8b88869447c9a2d77da18d2,murruk,20
Victas V>15 Extra Review - Another T05 alternative,./viewtopic.php?f=44&t=33724&sid=ccebb0dae8b88869447c9a2d77da18d2,notfound123,11
Chopping with Victas,./viewtopic.php?f=44&t=36801&sid=ccebb0dae8b88869447c9a2d77da18d2,PAVEXDPL,2
Mark V Progression,./viewtopic.php?f=44&t=36763&sid=ccebb0dae8b88869447c9a2d77da18d2,cerebro,5
Xiom Reviews - Omega 7 Hyper and Vega X,./viewtopic.php?f=44&t=36737&sid=ccebb0dae8b88869447c9a2d77da18d2,AndySmith,6
OOAK Interview with Kees - the interview!,./viewtopic.php?f=44&t=31216&sid=e008663c033142aa421f7a15687d1c7f,haggisv,10
Introduce yourself,./viewtopic.php?f=44&t=431&sid=e008663c033142aa421f7a15687d1c7f,haggisv,2378
Training rubber,./viewtopic.php?f=44&t=25211&sid=e008663c033142aa421f7a15687d1c7f,iskandar taib,459
JOOLA DYNARYZ,./viewtopic.php?f=44&t=36682&sid=e008663c033142aa421f7a15687d1c7f,gradge,9
Review: Donic Bluestorm Z2 vs. Tibhar Evolution EL-S,./viewtopic.php?f=44&t=33390&sid=e008663c033142aa421f7a15687d1c7f,Pipsy,3
Learning proper technique with flex blade and soft rubber?,./viewtopic.php?f=44&t=36525&sid=e008663c033142aa421f7a15687d1c7f,dantosik,37
Gambler Reflectoid Alternative?,./viewtopic.php?f=44&t=36180&sid=e008663c033142aa421f7a15687d1c7f,mynamenotbob,57
Any attacking choppers using inverted rubbers on both sides?,./viewtopic.php?f=44&t=35713&sid=e008663c033142aa421f7a15687d1c7f,pgpg,10
LARC numbers on topsheet,./viewtopic.php?f=44&t=36530&sid=e008663c033142aa421f7a15687d1c7f,learninTT,9
"Butterfly releases Dignics 80, 64 and Lin Gaoyuan ALC blade",./viewtopic.php?f=44&t=36052&sid=e008663c033142aa421f7a15687d1c7f,haggisv,6
Chinese rubbers to develop strokes?,./viewtopic.php?f=44&t=36398&sid=e008663c033142aa421f7a15687d1c7f,Trel,29
Short pips as defence 2019 ?,./viewtopic.php?f=44&t=36338&sid=e008663c033142aa421f7a15687d1c7f,Gazzatron,13
Butterfly Dignics 05,./viewtopic.php?f=44&t=33941&sid=e008663c033142aa421f7a15687d1c7f,haggisv,68
Penholders with Non-Tacky Forehands?,./viewtopic.php?f=44&t=36316&sid=e008663c033142aa421f7a15687d1c7f,Tanstin12,11
Xiom Vega X,./viewtopic.php?f=44&t=36484&sid=e008663c033142aa421f7a15687d1c7f,Croudy,0
under 10$ but enough good for playing!,./viewtopic.php?f=44&t=36381&sid=e008663c033142aa421f7a15687d1c7f,M.Hoang,4
Ares Sword Experiences,./viewtopic.php?f=44&t=32002&sid=e008663c033142aa421f7a15687d1c7f,Pumpa,4
Loop/Counterloop rubber for FH; need help,./viewtopic.php?f=44&t=36328&sid=e008663c033142aa421f7a15687d1c7f,Boxersss,18
Andro Hexer Grip and Powergrip,./viewtopic.php?f=44&t=33403&sid=e008663c033142aa421f7a15687d1c7f,ondras.horak,7
Nittaku Moristo DEF 1.2 / 1.4 / 1.8,./viewtopic.php?f=44&t=36161&sid=e008663c033142aa421f7a15687d1c7f,charmander defender,2
looking for tacky rubbers softer than 729FX,./viewtopic.php?f=44&t=36265&sid=e008663c033142aa421f7a15687d1c7f,netdriver,17
"Skyline 3-60 soft, mid-hard vs skyline 2 neo",./viewtopic.php?f=44&t=29866&sid=e008663c033142aa421f7a15687d1c7f,Bobobo,22
Dignics 05 early impression,./viewtopic.php?f=44&t=36335&sid=e008663c033142aa421f7a15687d1c7f,dazzler,0
Sriver vs Tackiness D 40+,./viewtopic.php?f=44&t=36308&sid=e008663c033142aa421f7a15687d1c7f,Carpe Noctem,1
New: Secret Flow - any questions for Sauer & Tröger ?,./viewtopic.php?f=44&t=25518&sid=e008663c033142aa421f7a15687d1c7f,haggisv,41
New Yinhe Big Dipper rubber,./viewtopic.php?f=44&t=23910&sid=e008663c033142aa421f7a15687d1c7f,haggisv,43
FH rubber for chopping - best of both worlds?,./viewtopic.php?f=44&t=23182&sid=e008663c033142aa421f7a15687d1c7f,poor_knight,25
Best chinese rubber for backhand for a looper,./viewtopic.php?f=44&t=36251&sid=e008663c033142aa421f7a15687d1c7f,ooak1102,15
New fast fh rubber,./viewtopic.php?f=44&t=36245&sid=e008663c033142aa421f7a15687d1c7f,Tenergy05fx,3
729 Presto?,./viewtopic.php?f=44&t=33152&sid=e008663c033142aa421f7a15687d1c7f,iskandar taib,28
Gambler Reflectoid Discontinued,./viewtopic.php?f=44&t=36178&sid=e008663c033142aa421f7a15687d1c7f,mynamenotbob,4
Tackifire Drive Alternative,./viewtopic.php?f=44&t=36093&sid=e008663c033142aa421f7a15687d1c7f,swick,15
Xiom Vega Asia df - underated rubber for modern defender,./viewtopic.php?f=44&t=32365&sid=e008663c033142aa421f7a15687d1c7f,ChasFox,8
Gambler - Nine Ultra Tack - Alternatives?,./viewtopic.php?f=44&t=36090&sid=e008663c033142aa421f7a15687d1c7f,FlipMajico,6
Xiom Vega DEF,./viewtopic.php?f=44&t=33875&sid=e008663c033142aa421f7a15687d1c7f,Japsican,14
729 presto max spin,./viewtopic.php?f=44&t=35711&sid=e008663c033142aa421f7a15687d1c7f,WorkoutMontage,22
729 is Back To The Nature.,./viewtopic.php?f=44&t=35665&sid=e008663c033142aa421f7a15687d1c7f,igorponger,17
New Victas 07 series - free samples for review - anyone?,./viewtopic.php?f=44&t=35202&sid=e008663c033142aa421f7a15687d1c7f,haggisv,70
Joola Golden Tango,./viewtopic.php?f=44&t=31522&sid=e008663c033142aa421f7a15687d1c7f,haggisv,67
Gewo Nexxus XT PRO 50 HARD | YouTube,./viewtopic.php?f=44&t=36145&sid=e008663c033142aa421f7a15687d1c7f,Tajny1989,0
aurus vs rakza 7,./viewtopic.php?f=44&t=36100&sid=e008663c033142aa421f7a15687d1c7f,vishal01,11
Tibhar Hybrid K1J,./viewtopic.php?f=44&t=35874&sid=e008663c033142aa421f7a15687d1c7f,ziv,6
Higher power mid to longer distance forehand rubber,./viewtopic.php?f=44&t=35846&sid=e008663c033142aa421f7a15687d1c7f,Bobv,23
Gewo Nexxus EL PRO 53 HARD | YouTube,./viewtopic.php?f=44&t=36089&sid=e008663c033142aa421f7a15687d1c7f,Tajny1989,0
Palio HK1997 gold or 729 Bloom Power,./viewtopic.php?f=44&t=35371&sid=e008663c033142aa421f7a15687d1c7f,learninTT,32
Review: XIOM Yanus DF,./viewtopic.php?f=44&t=5300&sid=e008663c033142aa421f7a15687d1c7f,mynamenotbob,18
Palio Macro Era 47.5 replacement,./viewtopic.php?f=44&t=36046&sid=e008663c033142aa421f7a15687d1c7f,banimal,10
Please share your opinion about Reactor rubbers,./viewtopic.php?f=44&t=35373&sid=e008663c033142aa421f7a15687d1c7f,fmarek,36
Alternative to Donic BF JP03,./viewtopic.php?f=44&t=35859&sid=e008663c033142aa421f7a15687d1c7f,Lannakrigaren,7
Armstrong New Chopper - defensive rubber,./viewtopic.php?f=44&t=21380&sid=e008663c033142aa421f7a15687d1c7f,haggisv,4
Looking for T05 alternative,./viewtopic.php?f=44&t=35206&sid=e008663c033142aa421f7a15687d1c7f,NilsM99,6
