thread_title,URL,author,num_reply
OOAK Interview with Kees - the interview!,https://ooakforum.com/viewtopic.php?f=44&t=31216,haggisv,10
Introduce yourself,https://ooakforum.com/viewtopic.php?f=44&t=431,haggisv,2378
Compiling a list of all ESN Tensor Sponge hardness levels,https://ooakforum.com/viewtopic.php?f=44&t=24689,haggisv,67
Andro Equivalent rubbers,https://ooakforum.com/viewtopic.php?f=44&t=28880,haggisv,26
Inverted Rubber review format / proforma - PLEASE USE THIS!,https://ooakforum.com/viewtopic.php?f=44&t=6398,haggisv,32
CURRENT TENSOR LIST + Tensor Facts & How to spot a Tenso,https://ooakforum.com/viewtopic.php?f=44&t=3906,Wookie,160
Hurricane 3 blue turbo rubber review... chopper's delight!?,https://ooakforum.com/viewtopic.php?f=44&t=37305,skilless_slapper,8
Xiom Vega Europe DF durability,https://ooakforum.com/viewtopic.php?f=44&t=37315,johndoe2019,2
Forehand Rubber for Defplay Senso (Chopping and Looping),https://ooakforum.com/viewtopic.php?f=44&t=36753,Hopsquatch,11
chop vs spin rubber -- which characteristics differ?,https://ooakforum.com/viewtopic.php?f=44&t=37293,KindButcher,5
Joola rhyzer 43 an improvement or worth buying? Help me pick,https://ooakforum.com/viewtopic.php?f=44&t=32742,Sidespinforwin,9
Plastic balls = hard sponge for inverted rubbers?,https://ooakforum.com/viewtopic.php?f=44&t=37287,Spartan62,2
Giant Dragon Submarine for chopping,https://ooakforum.com/viewtopic.php?f=44&t=20759,BarSeHyuk,18
How to unshrink a tensor,https://ooakforum.com/viewtopic.php?f=44&t=37116,LordCope,14
Are Tenergy/Dignics rubbers really the best?,https://ooakforum.com/viewtopic.php?f=44&t=37246,dan,11
dignics 09c vs dignics 05 review,https://ooakforum.com/viewtopic.php?f=44&t=37126,pandausagikoara,12
DHS Hurricane 3 Neo 2.15 vs. 2.2,https://ooakforum.com/viewtopic.php?f=44&t=36750,mynamenotbob,4
Gambler Rubbers,https://ooakforum.com/viewtopic.php?f=44&t=35722,Bobv,45
Sponge Hardness Scales,https://ooakforum.com/viewtopic.php?f=44&t=23663,haggisv,27
Xiom Omega VII Hyper and Vega X - very fast rubbers!,https://ooakforum.com/viewtopic.php?f=44&t=36610,haggisv,27
Butterfly Dignics 09C,https://ooakforum.com/viewtopic.php?f=44&t=36620,haggisv,38
Derwind Rayhe & Stolz,https://ooakforum.com/viewtopic.php?f=44&t=32693,Croudy,4
❖ EXPERIMENTAL RUBBBERs BY DHS ❖,https://ooakforum.com/viewtopic.php?f=44&t=37144,igorponger,6
TinArc 3 vs AK47 Red,https://ooakforum.com/viewtopic.php?f=44&t=35471,fmarek,8
Friendship 729 Sky Wing,https://ooakforum.com/viewtopic.php?f=44&t=5252,Kees,16
Sriver-HE,https://ooakforum.com/viewtopic.php?f=44&t=33717,iskandar taib,29
Red Hurricane 3 Neo Color Bleed ,https://ooakforum.com/viewtopic.php?f=44&t=37084,JulianTT,12
Loooking for FH rubber for Stiga Allround Classic WRB,https://ooakforum.com/viewtopic.php?f=44&t=36559,merlin el mago,24
Average weight sponge 2 or 2.1mm without rubber,https://ooakforum.com/viewtopic.php?f=44&t=37075,merlin el mago,12
WTB Xiom Omega 7 Hyper in Europe,https://ooakforum.com/viewtopic.php?f=44&t=37067,merlin el mago,2
Alternatives to Rasant Powergrip ,https://ooakforum.com/viewtopic.php?f=44&t=32612,Perham,14
KTL Rapid line,https://ooakforum.com/viewtopic.php?f=44&t=36741,iskandar taib,7
FH rubber for attacks close to the table?,https://ooakforum.com/viewtopic.php?f=44&t=37018,Skendarn,7
Condition of my yinhe mercury-II rubber.,https://ooakforum.com/viewtopic.php?f=44&t=36953,vishal01,10
Dawei 2008 XP vanished!,https://ooakforum.com/viewtopic.php?f=44&t=36971,1shot,7
Sponge thickness fast arc G1,https://ooakforum.com/viewtopic.php?f=44&t=36909,1shot,7
Two-Layer topsheet.,https://ooakforum.com/viewtopic.php?f=44&t=36062,igorponger,11
Victas Vs>401,https://ooakforum.com/viewtopic.php?f=44&t=21009,manofan,122
something similar to an old sheet of FXS?,https://ooakforum.com/viewtopic.php?f=44&t=35766,ChasFox,7
Good forgiving rubber for backhand,https://ooakforum.com/viewtopic.php?f=44&t=36380,MartijnH,12
Best tacky rubber for ABS-ball?,https://ooakforum.com/viewtopic.php?f=44&t=35229,Def-attack,40
Opinions about Tibhar MX-S for FH or BH,https://ooakforum.com/viewtopic.php?f=44&t=33448,ojeda11,15
feedback required for rubbers,https://ooakforum.com/viewtopic.php?f=44&t=36177,vishal01,10
Butterfly Rozena,https://ooakforum.com/viewtopic.php?f=44&t=31199,Japsican,22
New Rakza version,https://ooakforum.com/viewtopic.php?f=44&t=36864,1shot,0
Joola Rhyzer Pro 45 vs 50. Review anyone?,https://ooakforum.com/viewtopic.php?f=44&t=36549,YV13,4
Will Rubber Shrink?,https://ooakforum.com/viewtopic.php?f=44&t=30104,henrywilliam,23
Three Sword Red Dragon,https://ooakforum.com/viewtopic.php?f=44&t=35562,murruk,20
Victas V>15 Extra Review - Another T05 alternative,https://ooakforum.com/viewtopic.php?f=44&t=33724,notfound123,11
Chopping with Victas,https://ooakforum.com/viewtopic.php?f=44&t=36801,PAVEXDPL,2
Mark V Progression,https://ooakforum.com/viewtopic.php?f=44&t=36763,cerebro,5
Xiom Reviews - Omega 7 Hyper and Vega X,https://ooakforum.com/viewtopic.php?f=44&t=36737,AndySmith,6
