thread_title,URL,author,num_reply
Loki Rubbers,showthread.php?22886-Loki-Rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,yogi_bear,15
Hurricane 3 MEGA THREAD,showthread.php?23977-Hurricane-3-MEGA-THREAD&s=3c84fc5a7a3d606bd5e661f368ed3358,Vxneji,44
Help with this model of CJ8000,showthread.php?24029-Help-with-this-model-of-CJ8000&s=3c84fc5a7a3d606bd5e661f368ed3358,davizoosk,1
Globe 999 National?,showthread.php?21894-Globe-999-National&s=3c84fc5a7a3d606bd5e661f368ed3358,sampletext,13
Backhand change Dignics 05 to 09c or.....,showthread.php?23993-Backhand-change-Dignics-05-to-09c-or&s=3c84fc5a7a3d606bd5e661f368ed3358,Ghostzen,20
Harder rubber better for opening up backspin?,showthread.php?23951-Harder-rubber-better-for-opening-up-backspin&s=3c84fc5a7a3d606bd5e661f368ed3358,Vxneji,13
Dignics 80 Review | 5 Things You Need To Know,showthread.php?22518-Dignics-80-Review-5-Things-You-Need-To-Know&s=3c84fc5a7a3d606bd5e661f368ed3358,Dan,70
Spin sensitivity of T05 & T05FX,showthread.php?23945-Spin-sensitivity-of-T05-amp-T05FX&s=3c84fc5a7a3d606bd5e661f368ed3358,Forte,7
Rubber hardness,showthread.php?23928-Rubber-hardness&s=3c84fc5a7a3d606bd5e661f368ed3358,Vxneji,3
Butterfly Dignics 25?,showthread.php?23922-Butterfly-Dignics-25&s=3c84fc5a7a3d606bd5e661f368ed3358,Player Tim,5
New Rubber (Sticky with TSP Black Balsa 5.0),showthread.php?23889-New-Rubber-(Sticky-with-TSP-Black-Balsa-5-0)&s=3c84fc5a7a3d606bd5e661f368ed3358,iCupboard,1
"H3 neo, provincial 2.15mm orange sponge 37deg red",showthread.php?23857-H3-neo-provincial-2-15mm-orange-sponge-37deg-red&s=3c84fc5a7a3d606bd5e661f368ed3358,IB66,3
new Tacky rubber unboosted,showthread.php?23859-new-Tacky-rubber-unboosted&s=3c84fc5a7a3d606bd5e661f368ed3358,LittleSeki,32
