thread_title,URL,author,num_reply
Xiom Vega Japan vs Bty Tenergy 05,https://www.tabletennisdaily.com/forum/showthread.php?24041-Xiom-Vega-Japan-vs-Bty-Tenergy-05,Andrea Cherubini,1
Loki Rubbers,https://www.tabletennisdaily.com/forum/showthread.php?22886-Loki-Rubbers,yogi_bear,15
Hurricane 3 MEGA THREAD,https://www.tabletennisdaily.com/forum/showthread.php?23977-Hurricane-3-MEGA-THREAD,Vxneji,44
Help with this model of CJ8000,https://www.tabletennisdaily.com/forum/showthread.php?24029-Help-with-this-model-of-CJ8000,davizoosk,1
Globe 999 National?,https://www.tabletennisdaily.com/forum/showthread.php?21894-Globe-999-National,sampletext,13
Backhand change Dignics 05 to 09c or.....,https://www.tabletennisdaily.com/forum/showthread.php?23993-Backhand-change-Dignics-05-to-09c-or,Ghostzen,20
Harder rubber better for opening up backspin?,https://www.tabletennisdaily.com/forum/showthread.php?23951-Harder-rubber-better-for-opening-up-backspin,Vxneji,13
Dignics 80 Review | 5 Things You Need To Know,https://www.tabletennisdaily.com/forum/showthread.php?22518-Dignics-80-Review-5-Things-You-Need-To-Know,Dan,70
Spin sensitivity of T05 & T05FX,https://www.tabletennisdaily.com/forum/showthread.php?23945-Spin-sensitivity-of-T05-amp-T05FX,Forte,7
Rubber hardness,https://www.tabletennisdaily.com/forum/showthread.php?23928-Rubber-hardness,Vxneji,3
Butterfly Dignics 25?,https://www.tabletennisdaily.com/forum/showthread.php?23922-Butterfly-Dignics-25,Player Tim,5
New Rubber (Sticky with TSP Black Balsa 5.0),https://www.tabletennisdaily.com/forum/showthread.php?23889-New-Rubber-(Sticky-with-TSP-Black-Balsa-5-0),iCupboard,1
"H3 neo, provincial 2.15mm orange sponge 37deg red",https://www.tabletennisdaily.com/forum/showthread.php?23857-H3-neo-provincial-2-15mm-orange-sponge-37deg-red,IB66,3
new Tacky rubber unboosted,https://www.tabletennisdaily.com/forum/showthread.php?23859-new-Tacky-rubber-unboosted,LittleSeki,32
A rubber between MX-P and EL-S,https://www.tabletennisdaily.com/forum/showthread.php?23663-A-rubber-between-MX-P-and-EL-S,virtuososiu,119
Xiom Omega 7 China Ying and Butterfly Dignics 09c Comparison Test,https://www.tabletennisdaily.com/forum/showthread.php?23807-Xiom-Omega-7-China-Ying-and-Butterfly-Dignics-09c-Comparison-Test,yogi_bear,16
New Rubber from Stiga,https://www.tabletennisdaily.com/forum/showthread.php?23772-New-Rubber-from-Stiga,Nazmul Haque,15
Hurricane 3 neo,https://www.tabletennisdaily.com/forum/showthread.php?23680-Hurricane-3-neo,Omerspin,18
"Switching Rubbers, help me decide between Victas 15, Rakza 9 and Fastarc G1.",https://www.tabletennisdaily.com/forum/showthread.php?23773-Switching-Rubbers-help-me-decide-between-Victas-15-Rakza-9-and-Fastarc-G1,Reirom,12
What is the best alternative for Tenergy 05?,https://www.tabletennisdaily.com/forum/showthread.php?34-What-is-the-best-alternative-for-Tenergy-05,lgreggs,438
Timo Boll - How I glue,https://www.tabletennisdaily.com/forum/showthread.php?23943-Timo-Boll-How-I-glue,ttfunfan,31
