thread_title,URL,author,num_reply
OOAK Interview with Kees - the interview!,./viewtopic.php?f=44&t=31216&sid=6412024a68d83a0798f19d1b590bb7dd,haggisv,10
Introduce yourself,./viewtopic.php?f=44&t=431&sid=6412024a68d83a0798f19d1b590bb7dd,haggisv,2378
Compiling a list of all ESN Tensor Sponge hardness levels,./viewtopic.php?f=44&t=24689&sid=6412024a68d83a0798f19d1b590bb7dd,haggisv,67
Andro Equivalent rubbers,./viewtopic.php?f=44&t=28880&sid=6412024a68d83a0798f19d1b590bb7dd,haggisv,26
Inverted Rubber review format / proforma - PLEASE USE THIS!,./viewtopic.php?f=44&t=6398&sid=6412024a68d83a0798f19d1b590bb7dd,haggisv,32
CURRENT TENSOR LIST + Tensor Facts & How to spot a Tenso,./viewtopic.php?f=44&t=3906&sid=6412024a68d83a0798f19d1b590bb7dd,Wookie,160
Hurricane 3 blue turbo rubber review... chopper's delight!?,./viewtopic.php?f=44&t=37305&sid=6412024a68d83a0798f19d1b590bb7dd,skilless_slapper,8
Xiom Vega Europe DF durability,./viewtopic.php?f=44&t=37315&sid=6412024a68d83a0798f19d1b590bb7dd,johndoe2019,2
Forehand Rubber for Defplay Senso (Chopping and Looping),./viewtopic.php?f=44&t=36753&sid=6412024a68d83a0798f19d1b590bb7dd,Hopsquatch,11
chop vs spin rubber -- which characteristics differ?,./viewtopic.php?f=44&t=37293&sid=6412024a68d83a0798f19d1b590bb7dd,KindButcher,5
Joola rhyzer 43 an improvement or worth buying? Help me pick,./viewtopic.php?f=44&t=32742&sid=6412024a68d83a0798f19d1b590bb7dd,Sidespinforwin,9
Plastic balls = hard sponge for inverted rubbers?,./viewtopic.php?f=44&t=37287&sid=6412024a68d83a0798f19d1b590bb7dd,Spartan62,2
Giant Dragon Submarine for chopping,./viewtopic.php?f=44&t=20759&sid=6412024a68d83a0798f19d1b590bb7dd,BarSeHyuk,18
How to unshrink a tensor,./viewtopic.php?f=44&t=37116&sid=6412024a68d83a0798f19d1b590bb7dd,LordCope,14
Are Tenergy/Dignics rubbers really the best?,./viewtopic.php?f=44&t=37246&sid=6412024a68d83a0798f19d1b590bb7dd,dan,11
dignics 09c vs dignics 05 review,./viewtopic.php?f=44&t=37126&sid=6412024a68d83a0798f19d1b590bb7dd,pandausagikoara,12
DHS Hurricane 3 Neo 2.15 vs. 2.2,./viewtopic.php?f=44&t=36750&sid=6412024a68d83a0798f19d1b590bb7dd,mynamenotbob,4
Gambler Rubbers,./viewtopic.php?f=44&t=35722&sid=6412024a68d83a0798f19d1b590bb7dd,Bobv,45
Sponge Hardness Scales,./viewtopic.php?f=44&t=23663&sid=6412024a68d83a0798f19d1b590bb7dd,haggisv,27
Xiom Omega VII Hyper and Vega X - very fast rubbers!,./viewtopic.php?f=44&t=36610&sid=6412024a68d83a0798f19d1b590bb7dd,haggisv,27
Butterfly Dignics 09C,./viewtopic.php?f=44&t=36620&sid=6412024a68d83a0798f19d1b590bb7dd,haggisv,38
Derwind Rayhe & Stolz,./viewtopic.php?f=44&t=32693&sid=6412024a68d83a0798f19d1b590bb7dd,Croudy,4
❖ EXPERIMENTAL RUBBBERs BY DHS ❖,./viewtopic.php?f=44&t=37144&sid=6412024a68d83a0798f19d1b590bb7dd,igorponger,6
TinArc 3 vs AK47 Red,./viewtopic.php?f=44&t=35471&sid=6412024a68d83a0798f19d1b590bb7dd,fmarek,8
Friendship 729 Sky Wing,./viewtopic.php?f=44&t=5252&sid=6412024a68d83a0798f19d1b590bb7dd,Kees,16
Sriver-HE,./viewtopic.php?f=44&t=33717&sid=6412024a68d83a0798f19d1b590bb7dd,iskandar taib,29
Red Hurricane 3 Neo Color Bleed ,./viewtopic.php?f=44&t=37084&sid=6412024a68d83a0798f19d1b590bb7dd,JulianTT,12
Loooking for FH rubber for Stiga Allround Classic WRB,./viewtopic.php?f=44&t=36559&sid=6412024a68d83a0798f19d1b590bb7dd,merlin el mago,24
Average weight sponge 2 or 2.1mm without rubber,./viewtopic.php?f=44&t=37075&sid=6412024a68d83a0798f19d1b590bb7dd,merlin el mago,12
WTB Xiom Omega 7 Hyper in Europe,./viewtopic.php?f=44&t=37067&sid=6412024a68d83a0798f19d1b590bb7dd,merlin el mago,2
Alternatives to Rasant Powergrip ,./viewtopic.php?f=44&t=32612&sid=6412024a68d83a0798f19d1b590bb7dd,Perham,14
KTL Rapid line,./viewtopic.php?f=44&t=36741&sid=6412024a68d83a0798f19d1b590bb7dd,iskandar taib,7
FH rubber for attacks close to the table?,./viewtopic.php?f=44&t=37018&sid=6412024a68d83a0798f19d1b590bb7dd,Skendarn,7
Condition of my yinhe mercury-II rubber.,./viewtopic.php?f=44&t=36953&sid=6412024a68d83a0798f19d1b590bb7dd,vishal01,10
Dawei 2008 XP vanished!,./viewtopic.php?f=44&t=36971&sid=6412024a68d83a0798f19d1b590bb7dd,1shot,7
Sponge thickness fast arc G1,./viewtopic.php?f=44&t=36909&sid=6412024a68d83a0798f19d1b590bb7dd,1shot,7
Two-Layer topsheet.,./viewtopic.php?f=44&t=36062&sid=6412024a68d83a0798f19d1b590bb7dd,igorponger,11
Victas Vs>401,./viewtopic.php?f=44&t=21009&sid=6412024a68d83a0798f19d1b590bb7dd,manofan,122
something similar to an old sheet of FXS?,./viewtopic.php?f=44&t=35766&sid=6412024a68d83a0798f19d1b590bb7dd,ChasFox,7
Good forgiving rubber for backhand,./viewtopic.php?f=44&t=36380&sid=6412024a68d83a0798f19d1b590bb7dd,MartijnH,12
