,Unnamed: 0,id,thread_title,reply_split,classification
0,0,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"This is a great idea, it will make it easier for newbies to post reviews, and it will make every review more thorough and universal.",-1
1,1,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Thus, it will be easier to compare different equipment.",-1
2,2,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"All for it,It would make comparisons much easier and also help the reviewer structure his info and concnetrate more on reporting the real info.",-1
3,3,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Excellent haggisv.,-1
4,4,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Some consistency at last in how reviews are done.One question, what will happen to the existing reviews on the forum which don't meet this format.",-1
5,5,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Will the equipment affected have to be reviewed again?,-1
6,6,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Debater I think that's up to the reviewer.,-1
7,7,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Any info on equipment is better than none, so its all worthwhile having.",-1
8,8,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"If someone wants to come along and do a review in this format where there is an existing review, just gives another piece of information into the kit.",-1
9,9,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,If that person is different to the first it gives another perspective.,-1
10,10,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"If they're the same, then it gives an update.",-1
11,11,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Its always a WIN!,-1
12,12,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,I'll add this thread to the beginning of the review index for anyone considering doing a review after reading some.,-1
13,13,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,So we're all happy the way it is.. no changes/additons?,-1
14,14,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Some other optional sections could be:the marketing spiel,spin reversal (for pip reviews)Other rubbers used and how they compareAlso probably reminder to say what color, what sponge thickness, cost perhaps (just as rough guide).That's all I can think of for now.",-1
15,15,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,soundglue effect,-1
16,16,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,The infamous Babe Factor...,-1
17,17,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"The only thing you have forgotten is this: to sticky this thread Very nice, and in the future I will use this standard for my reviews",-1
18,18,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Don't need to sticky it cstt, its linked in the equipment review thread.",-1
